# r_minus_2Rs_A,    PMF_over_kBT
-8.396000000000007901e-01 3.224555272422837504e+01
-8.254697799999988206e-01 4.297788744678652506e+01
-8.113395590000003210e-01 5.367197802861010558e+01
-7.972093389999983515e-01 6.427649798792074876e+01
-7.830791189999999347e-01 6.394828547308650002e+01
-7.689488980000014351e-01 6.329055258037581666e+01
-7.548186779999994656e-01 6.210429797053394907e+01
-7.406884580000010487e-01 6.016520113994215535e+01
-7.265582369999989965e-01 5.727300376053588593e+01
-7.124280170000005796e-01 5.331666090036875261e+01
-6.982977959999985273e-01 4.832849325225667769e+01
-6.841675760000001105e-01 4.250124207538382848e+01
-6.700373560000016937e-01 3.616036446062705778e+01
-6.559071349999996414e-01 2.968922001492915896e+01
-6.417769150000012246e-01 2.344193922207318792e+01
-6.276466949999992551e-01 1.766843872030854001e+01
-6.135164740000007555e-01 1.247953579523151291e+01
-5.993862539999987860e-01 7.860833180154974897e+00
-5.852560340000003691e-01 3.721326696192866823e+00
-5.711258129999983169e-01 -4.454047119253708165e-02
-5.569955929999999000e-01 -3.513114214861215778e+00
-5.428653730000014832e-01 -6.716069960205229172e+00
-5.287351519999994309e-01 -9.652411375333441512e+00
-5.146049320000010141e-01 -1.231377222139827765e+01
-5.004747109999989618e-01 -1.470371646642290919e+01
-4.863444910000005450e-01 -1.684405918896170462e+01
-4.722142709999985755e-01 -1.876648818891950654e+01
-4.580840500000000759e-01 -2.050051879288485779e+01
-4.439538300000016591e-01 -2.206905179664417815e+01
-4.298236099999996895e-01 -2.348555642130103038e+01
-4.156933890000011900e-01 -2.475928366805965197e+01
-4.015631689999992204e-01 -2.589937189913741022e+01
-3.874329490000008036e-01 -2.691486271378295569e+01
-3.733027279999987513e-01 -2.781728431625786513e+01
-3.591725080000003345e-01 -2.861756687797783982e+01
-3.450422879999983650e-01 -2.932642833191684417e+01
-3.309120669999998654e-01 -2.995329027995136073e+01
-3.167818470000014486e-01 -3.050596167134823844e+01
-3.026516259999993963e-01 -3.099152561532343597e+01
-2.885214060000009795e-01 -3.141571411875716180e+01
-2.743911859999990099e-01 -3.178306748915758106e+01
-2.602609650000005104e-01 -3.209630991062586247e+01
-2.461307449999985408e-01 -3.235887329138149937e+01
-2.320005250000001240e-01 -3.257663733748120904e+01
-2.178703040000016244e-01 -3.275530070049795484e+01
-2.037400839999996549e-01 -3.289996334581189075e+01
-1.896098640000012381e-01 -3.301382219321727973e+01
-1.754796429999991858e-01 -3.310099937447308349e+01
-1.613494230000007690e-01 -3.316533440847791780e+01
-1.472192029999987994e-01 -3.320760923718831492e+01
-1.330889820000002999e-01 -3.322933629872503758e+01
-1.189587619999983303e-01 -3.323120186662051623e+01
-1.048285409999998308e-01 -3.321491782393239589e+01
-9.069832100000141395e-02 -3.318296848262910714e+01
-7.656810099999944441e-02 -3.313742340619916860e+01
-6.243788000000094485e-02 -3.307983317403474643e+01
-4.830765999999897531e-02 -3.300953813152908367e+01
-3.417744000000055848e-02 -3.292766184805772411e+01
-2.004721899999850621e-02 -3.283735244990366198e+01
-5.916999000000089382e-03 -3.274197122101548985e+01
8.213220999998327443e-03 -3.264342150305993329e+01
2.234344200000037972e-02 -3.254070700824628659e+01
3.647366199999879655e-02 -3.243412422742152756e+01
5.060388200000076608e-02 -3.232575178510578695e+01
6.473410299999926565e-02 -3.221702077152452404e+01
7.886432300000123519e-02 -3.210830461761145216e+01
9.299454399999973475e-02 -3.199991987114741576e+01
1.071247640000017043e-01 -3.189315358359631603e+01
1.212549840000001211e-01 -3.178824387044143762e+01
1.353852049999986207e-01 -3.168295049546748032e+01
1.495154250000005902e-01 -3.157753611978283814e+01
1.636456449999990070e-01 -3.147357401527792220e+01
1.777758660000010593e-01 -3.137104959145010596e+01
