# r_minus_2Rs_A,    PMF_over_kBT
-8.025199999999994560e-01 3.508280710392919843e+01
-7.883871589999991158e-01 4.675794029560275789e+01
-7.742543180000005520e-01 5.839000832901293592e+01
-7.601214770000002119e-01 6.992438789611080097e+01
-7.459886349999997890e-01 6.956952713304623614e+01
-7.318557939999994488e-01 6.887762986881251948e+01
-7.177229530000008850e-01 6.766721987646330660e+01
-7.035901120000005449e-01 6.575237663070006988e+01
-6.894572710000002047e-01 6.299213852660436430e+01
-6.753244299999998645e-01 5.934360072012985654e+01
-6.611915889999995244e-01 5.489427540216823331e+01
-6.470587479999991842e-01 4.985521816129183037e+01
-6.329259060000005377e-01 4.452175965846730321e+01
-6.187930650000001975e-01 3.920584765693288887e+01
-6.046602239999998574e-01 3.416971300240122389e+01
-5.905273829999995172e-01 2.957865895573744197e+01
-5.763945419999991771e-01 2.548563489177607622e+01
-5.622617010000006132e-01 2.185484271099294773e+01
-5.481288600000002731e-01 1.860369389845971355e+01
-5.339960179999998502e-01 1.564725848454615864e+01
-5.198631769999995100e-01 1.292668862922335649e+01
-5.057303359999991699e-01 1.041351949997700466e+01
-4.915974950000006061e-01 8.102980114357299257e+00
-4.774646540000002659e-01 5.998469404693656415e+00
-4.633318129999999258e-01 4.100267630492139048e+00
-4.491989719999995856e-01 2.402402908917331104e+00
-4.350661309999992454e-01 8.890583650733212551e-01
-4.209332890000005989e-01 -4.610912071529054135e-01
-4.068004480000002587e-01 -1.673012379819721618e+00
-3.926676069999999186e-01 -2.768121044353906601e+00
-3.785347659999995784e-01 -3.758849145619895360e+00
-3.644019249999992383e-01 -4.650530003871807594e+00
-3.502690840000006745e-01 -5.445130886813449145e+00
-3.361362430000003343e-01 -6.149222248541232894e+00
-3.220034009999999114e-01 -6.771280512748297120e+00
-3.078705599999995712e-01 -7.321620686625547769e+00
-2.937377189999992311e-01 -7.809498921802220828e+00
-2.796048780000006673e-01 -8.241272925302400409e+00
-2.654720370000003271e-01 -8.623140964428559485e+00
-2.513391959999999870e-01 -8.958404228049598572e+00
-2.372063549999996468e-01 -9.249177034046754287e+00
-2.230735139999993066e-01 -9.497820729233886539e+00
