# r_minus_2Rs_A,    PMF_over_kBT
-8.265999999999991132e-01 3.415153603151794215e+01
-8.124606869999997372e-01 4.551672656201033362e+01
-7.983213730000002784e-01 5.683855105051065237e+01
-7.841820599999991259e-01 6.806160189553899897e+01
-7.700427469999997498e-01 6.770122081844880313e+01
-7.559034330000002910e-01 6.698857296693455510e+01
-7.417641199999991386e-01 6.572445473544158290e+01
-7.276248069999997625e-01 6.369486264238435069e+01
-7.134854940000003864e-01 6.072371818935329202e+01
-6.993461799999991513e-01 5.673136725124648194e+01
-6.852068669999997752e-01 5.177953430038419214e+01
-6.710675540000003991e-01 4.608077688341816724e+01
-6.569282399999991640e-01 3.996245475608325393e+01
-6.427889269999997879e-01 3.379681559337701913e+01
-6.286496140000004118e-01 2.791435462215485330e+01
-6.145102999999991766e-01 2.253401875651093178e+01
-6.003709869999998006e-01 1.773389268491760973e+01
-5.862316740000004245e-01 1.347549384809357598e+01
-5.720923609999992721e-01 9.661221739954113374e+00
-5.579530469999998132e-01 6.192851466265874905e+00
-5.438137340000004372e-01 3.003733846300762345e+00
-5.296744209999992847e-01 6.479047575548926852e-02
-5.155351069999998259e-01 -2.626120460711933280e+00
-5.013957940000004498e-01 -5.062610858061525221e+00
-4.872564809999992974e-01 -7.249097182816967688e+00
-4.731171669999998386e-01 -9.206883128480052747e+00
-4.589778540000004625e-01 -1.096607078274962532e+01
-4.448385409999993101e-01 -1.255630085255500283e+01
-4.306992269999998513e-01 -1.399659890022750020e+01
-4.165599140000004752e-01 -1.529624099329602771e+01
-4.024206009999993228e-01 -1.645957645986600681e+01
-3.882812879999999467e-01 -1.749501809626585214e+01
-3.741419740000004879e-01 -1.841710824592598783e+01
-3.600026609999993354e-01 -1.924087991422765143e+01
-3.458633479999999594e-01 -1.997624282451704048e+01
-3.317240340000005006e-01 -2.062776452476835232e+01
-3.175847209999993481e-01 -2.120189684517634632e+01
-3.034454079999999720e-01 -2.170725714170477261e+01
-2.893060940000005132e-01 -2.215316512059642662e+01
-2.751667809999993608e-01 -2.254357493374513410e+01
-2.610274679999999847e-01 -2.288098715221651247e+01
-2.468881550000006087e-01 -2.316817796526743578e+01
-2.327488409999993735e-01 -2.340842403192331389e+01
-2.186095279999999974e-01 -2.360707117343757133e+01
-2.044702150000006213e-01 -2.377017335821994948e+01
-1.903309009999993862e-01 -2.390419173226966620e+01
-1.761915880000000101e-01 -2.401101853468031777e+01
-1.620522750000006340e-01 -2.409175743851580620e+01
-1.479129609999993988e-01 -2.414804671915335277e+01
-1.337736480000000228e-01 -2.418474086526313371e+01
-1.196343350000006467e-01 -2.420465262730812128e+01
-1.054950209999994115e-01 -2.420763700359970372e+01
-9.135570800000003544e-02 -2.419428354432973194e+01
-7.721639500000065937e-02 -2.416592612596193490e+01
-6.307708199999950693e-02 -2.412632056996381635e+01
-4.893776800000004812e-02 -2.407693051392362804e+01
-3.479845500000067204e-02 -2.401866238033831991e+01
-2.065914199999951961e-02 -2.395069215050459022e+01
-6.519828000000060797e-03 -2.387402576312699409e+01
7.619484999999315278e-03 -2.379072460154612756e+01
2.175879800000046771e-02 -2.370423049893860323e+01
3.589811199999992652e-02 -2.361822118161191497e+01
5.003742499999930260e-02 -2.353162545698188168e+01
6.417673800000045503e-02 -2.344300048748520027e+01
7.831605199999991385e-02 -2.335103323965923749e+01
9.245536499999928992e-02 -2.325820182898741706e+01
1.065946780000004424e-01 -2.316632216972160663e+01
1.207339909999998184e-01 -2.307463448677938445e+01
1.348733049999992772e-01 -2.298189174456355843e+01
1.490126180000004297e-01 -2.288813324624029377e+01
1.631519309999998057e-01 -2.279453376640661233e+01
1.772912449999992646e-01 -2.270340183390528921e+01
1.914305580000004170e-01 -2.261579426977990792e+01
2.055698709999997931e-01 -2.252886076607792631e+01
2.197091849999992519e-01 -2.244166401720491777e+01
2.338484980000004043e-01 -2.235267350642864415e+01
2.479878109999997804e-01 -2.226434156261857211e+01
2.621271239999991565e-01 -2.217693227139177381e+01
2.762664380000003916e-01 -2.208885074223790212e+01
2.904057509999997677e-01 -2.199962175792612840e+01
3.045450639999991438e-01 -2.190957174405908603e+01
3.186843780000003790e-01 -2.182074200795397445e+01
3.328236909999997550e-01 -2.173259014620701990e+01
3.469630039999991311e-01 -2.164390951509096084e+01
3.611023180000003663e-01 -2.155259541013957758e+01
3.752416309999997424e-01 -2.146018437480639207e+01
3.893809439999991184e-01 -2.136808947728696140e+01
4.035202580000003536e-01 -2.127969051017878854e+01
4.176595709999997297e-01 -2.119567357366673477e+01
4.317988840000008821e-01 -2.111399666080881232e+01
4.459381970000002582e-01 -2.103115480227571865e+01
4.600775109999997170e-01 -2.094431037673912144e+01
4.742168240000008694e-01 -2.085487321278685613e+01
4.883561370000002455e-01 -2.076481891891093667e+01
5.024954509999997043e-01 -2.067582540727744345e+01
5.166347640000008568e-01 -2.058669383528325270e+01
5.307740770000002328e-01 -2.049773223708879044e+01
5.449133909999996916e-01 -2.040797937920744687e+01
5.590527040000008441e-01 -2.031828286687522933e+01
5.731920170000002202e-01 -2.022992140062068600e+01
5.873313299999995962e-01 -2.014250757639057454e+01
6.014706440000008314e-01 -2.005588351361961230e+01
6.156099570000002075e-01 -1.996903969014869773e+01
6.297492699999995835e-01 -1.988218799396708647e+01
6.438885840000008187e-01 -1.979585041120997602e+01
6.580278970000001948e-01 -1.970959164783439732e+01
6.721672099999995709e-01 -1.962219258437371749e+01
6.863065240000008060e-01 -1.953319654108724635e+01
7.004458370000001821e-01 -1.944379348758925019e+01
7.145851499999995582e-01 -1.935717707769519791e+01
7.287244640000007934e-01 -1.927288121868653903e+01
7.428637770000001694e-01 -1.918897467171977311e+01
7.570030899999995455e-01 -1.910379887189468562e+01
7.711424030000006979e-01 -1.901706747712825063e+01
7.852817170000001568e-01 -1.893057453809408486e+01
7.994210299999995328e-01 -1.884433936431643630e+01
8.135603430000006853e-01 -1.875822158599205380e+01
8.276996570000001441e-01 -1.866954421637828787e+01
8.418389699999995202e-01 -1.857853589406358807e+01
8.559782830000006726e-01 -1.848718487391409226e+01
8.701175970000001314e-01 -1.839861964876693534e+01
8.842569099999995075e-01 -1.831355394834292483e+01
8.983962230000006599e-01 -1.822972636894177612e+01
9.125355360000000360e-01 -1.814556934692054924e+01
9.266748499999994948e-01 -1.805953782402107777e+01
9.408141630000006472e-01 -1.797286301941431219e+01
9.549534760000000233e-01 -1.788624044854646300e+01
9.690927899999994821e-01 -1.780057964529628833e+01
9.832321030000006346e-01 -1.771581991608324813e+01
9.973714160000000106e-01 -1.763156451338873865e+01
1.011510730000001246e+00 -1.754748315689987592e+01
1.025650042999998846e+00 -1.746442392874852700e+01
1.039789355999999998e+00 -1.738188164628652643e+01
1.053928670000001233e+00 -1.729732298900399101e+01
1.068067982999998833e+00 -1.720943501433599110e+01
1.082207295999999985e+00 -1.711802939461495754e+01
1.096346609000001138e+00 -1.702715345507110456e+01
1.110485922999998820e+00 -1.693888341853837076e+01
1.124625235999999973e+00 -1.685339705436332025e+01
1.138764549000001125e+00 -1.676992405594095459e+01
1.152903862999998807e+00 -1.668818120915733871e+01
1.167043175999999960e+00 -1.660974773707449614e+01
1.181182489000001112e+00 -1.653553531292191536e+01
1.195321802999998795e+00 -1.646216102730012310e+01
1.209461115999999947e+00 -1.638373641513945245e+01
1.223600429000001100e+00 -1.629826389527421071e+01
1.237739741999998699e+00 -1.620681244071164073e+01
1.251879055999999935e+00 -1.611397464060809170e+01
1.266018369000001087e+00 -1.602168710681105779e+01
1.280157681999998687e+00 -1.593101565744130710e+01
1.294296995999999922e+00 -1.584268377731917532e+01
1.308436309000001074e+00 -1.575649339827752549e+01
1.322575621999998674e+00 -1.567246881174580686e+01
1.336714935999999909e+00 -1.559053213573768737e+01
1.350854249000001062e+00 -1.551025687844100176e+01
1.364993561999998661e+00 -1.542972759681453887e+01
1.379132875999999897e+00 -1.534901729089439115e+01
1.393272189000001049e+00 -1.526955620348158149e+01
1.407411501999998649e+00 -1.519281863140071742e+01
1.421550814999999801e+00 -1.511722340224872418e+01
1.435690129000001036e+00 -1.504092739743276042e+01
1.449829441999998636e+00 -1.496409589403220153e+01
1.463968754999999788e+00 -1.488711645050523025e+01
1.478108069000001024e+00 -1.480777997092036813e+01
1.492247381999998623e+00 -1.472391646258888187e+01
1.506386694999999776e+00 -1.463626207982262351e+01
