# r_minus_2Rs_A,    PMF_over_kBT
-8.399999999999998579e-01 2.907803428221984987e+01
-8.258743210000005774e-01 3.875176521007779940e+01
-8.117486420000012970e-01 4.838277577167947641e+01
-7.976229629999984638e-01 5.791619029961974263e+01
-7.834972839999991834e-01 5.755931288936739776e+01
-7.693716049999999029e-01 5.685492714778527557e+01
-7.552459260000006225e-01 5.560107756659672162e+01
-7.411202470000013420e-01 5.357351609343916721e+01
-7.269945679999985089e-01 5.057922678128379346e+01
-7.128688889999992284e-01 4.651842890488553195e+01
-6.987432099999999480e-01 4.143592196018870055e+01
-6.846175310000006675e-01 3.553559561269560163e+01
-6.704918520000013871e-01 2.914651255981572575e+01
-6.563661729999985539e-01 2.265022504472225506e+01
-6.422404939999992735e-01 1.639200340716984883e+01
-6.281148149999999930e-01 1.061221196481460183e+01
-6.139891360000007126e-01 5.414189409148742804e+00
-5.998634570000014321e-01 7.797561386986349152e-01
-5.857377779999985989e-01 -3.380367723184939166e+00
-5.716120989999993185e-01 -7.167124934743394959e+00
-5.574864200000000380e-01 -1.065221745723108171e+01
-5.433607410000007576e-01 -1.386579208849238753e+01
-5.292350620000014771e-01 -1.680868857521597093e+01
-5.151093829999986440e-01 -1.947410571238909682e+01
-5.009837039999993635e-01 -2.186608453952961995e+01
-4.868580250000000831e-01 -2.400521326215496032e+01
-4.727323460000008026e-01 -2.592254361369198890e+01
-4.586066670000015222e-01 -2.764943730663475918e+01
-4.444809879999986890e-01 -2.920989190804633040e+01
-4.303553089999994086e-01 -3.062101456739020833e+01
-4.162296300000001281e-01 -3.189302502494463454e+01
-4.021039510000008477e-01 -3.303140044517261487e+01
-3.879782720000015672e-01 -3.404189897217852945e+01
-3.738525929999987341e-01 -3.493509569782756330e+01
-3.597269139999994536e-01 -3.572569281340831537e+01
-3.456012350000001732e-01 -3.642711263888207185e+01
-3.314755560000008927e-01 -3.704761630596674848e+01
-3.173498770000016123e-01 -3.759214739194718646e+01
-3.032241979999987791e-01 -3.806683905694736580e+01
-2.890985189999994986e-01 -3.847838938068274928e+01
-2.749728400000002182e-01 -3.883428854965399779e+01
-2.608471600000008550e-01 -3.913862144224597728e+01
-2.467214810000015746e-01 -3.939596712894078934e+01
-2.325958019999987414e-01 -3.961036943379939146e+01
-2.184701229999994609e-01 -3.978586963627223128e+01
-2.043444440000001805e-01 -3.992821187731913568e+01
-1.902187650000009000e-01 -4.003998834908070137e+01
-1.760930860000016196e-01 -4.012304827328544832e+01
-1.619674069999987864e-01 -4.017764292838153750e+01
-1.478417279999995060e-01 -4.020709800106378395e+01
