# r_minus_2Rs_A,    PMF_over_kBT
-8.340999999999993975e-01 2.908774976191342532e+01
-8.199639410000010287e-01 3.877218606965152503e+01
-8.058278809999990244e-01 4.842687821481281674e+01
-7.916918220000006556e-01 5.801084625732460864e+01
-7.775557619999986514e-01 5.774990979499852983e+01
-7.634197030000002826e-01 5.721463623549180255e+01
-7.492836429999982784e-01 5.622876179992984902e+01
-7.351475839999999096e-01 5.458388061704583549e+01
-7.210115240000014580e-01 5.208589631816251853e+01
-7.068754649999995365e-01 4.861076007861690584e+01
-6.927394050000010850e-01 4.415882383637946162e+01
-6.786033459999991635e-01 3.887765226609039360e+01
-6.644672860000007120e-01 3.304045256613778747e+01
-6.503312269999987905e-01 2.698967502065133317e+01
-6.361951670000003389e-01 2.106063961753398317e+01
-6.220591079999984174e-01 1.551234516755462067e+01
-6.079230479999999659e-01 1.048442739519847855e+01
-5.937869890000015971e-01 5.997254192541426221e+00
-5.796509289999995929e-01 1.989172163555582573e+00
-5.655148700000012241e-01 -1.630586816815177142e+00
-5.513788099999992198e-01 -4.938569331582220556e+00
-5.372427510000008510e-01 -7.976320078168427585e+00
-5.231066909999988468e-01 -1.075440768119070789e+01
-5.089706320000004780e-01 -1.327301996218786861e+01
-4.948345719999984738e-01 -1.553695453930063586e+01
-4.806985130000001050e-01 -1.756072518324707943e+01
-4.665624540000017362e-01 -1.936805671554787622e+01
-4.524263939999997319e-01 -2.098771222529867586e+01
-4.382903350000013631e-01 -2.244484438182553276e+01
-4.241542749999993589e-01 -2.375886406817287622e+01
-4.100182160000009901e-01 -2.494059509584034018e+01
-3.958821559999989859e-01 -2.599736708565678001e+01
-3.817460970000006171e-01 -2.693511153415814974e+01
-3.676100369999986128e-01 -2.776139447557422102e+01
-3.534739780000002440e-01 -2.848735555710158351e+01
-3.393379179999982398e-01 -2.912310896397471183e+01
-3.252018589999998710e-01 -2.967913157442277594e+01
-3.110657990000014195e-01 -3.016220494474892178e+01
-2.969297399999994980e-01 -3.057941937603746041e+01
-2.827936800000010464e-01 -3.093767414554846695e+01
-2.686576209999991249e-01 -3.124333356983763821e+01
-2.545215610000006734e-01 -3.150175813886495391e+01
