# r_minus_2Rs_A,    PMF_over_kBT
-8.297999999999987608e-01 3.064764059332232193e+01
-8.156615289999997742e-01 4.084927034641162891e+01
-8.015230580000007876e-01 5.101733145416949355e+01
-7.873845869999982483e-01 6.110734240534901573e+01
-7.732461159999992617e-01 6.082104198335074585e+01
-7.591076450000002751e-01 6.024776687573931611e+01
-7.449691740000012885e-01 5.921266518120648215e+01
-7.308307029999987492e-01 5.751479735880425181e+01
-7.166922319999997626e-01 5.497181336307718880e+01
-7.025537610000007760e-01 5.147574285034607300e+01
-6.884152899999982367e-01 4.704158635149062917e+01
-6.742768189999992501e-01 4.182530276307399220e+01
-6.601383480000002635e-01 3.610286825282257439e+01
-6.459998770000012769e-01 3.021032664750520880e+01
-6.318614059999987376e-01 2.446853052296792086e+01
-6.177229349999997510e-01 1.911816135939180938e+01
-6.035844640000007644e-01 1.428409771817034013e+01
-5.894459929999982251e-01 9.978638350139084068e+00
-5.753075219999992385e-01 6.136501617068899961e+00
-5.611690510000002519e-01 2.668037544161685926e+00
-5.470305800000012653e-01 -5.018138433876774274e-01
-5.328921089999987259e-01 -3.415020755408380904e+00
-5.187536369999996566e-01 -6.083576191542139355e+00
-5.046151660000006700e-01 -8.505501702524671970e+00
-4.904766950000016834e-01 -1.068142080942668848e+01
-4.763382239999991441e-01 -1.262244986454282980e+01
-4.621997530000001575e-01 -1.435145017940554979e+01
-4.480612820000011709e-01 -1.589488691834210954e+01
-4.339228109999986316e-01 -1.727812749344727195e+01
-4.197843399999996450e-01 -1.852166519493096786e+01
-4.056458690000006584e-01 -1.963838825036249958e+01
-3.915073980000016718e-01 -2.063837850164371091e+01
-3.773689269999991325e-01 -2.152700925654705699e+01
-3.632304560000001459e-01 -2.231044287980633811e+01
-3.490919850000011593e-01 -2.299685565527907372e+01
-3.349535139999986200e-01 -2.359484424220000065e+01
-3.208150429999996334e-01 -2.411534995216448607e+01
-3.066765720000006468e-01 -2.456682247690066134e+01
-2.925381010000016602e-01 -2.495460845691773599e+01
-2.783996299999991209e-01 -2.528194115645235840e+01
-2.642611590000001343e-01 -2.555376191626589488e+01
-2.501226880000011477e-01 -2.577709387637036542e+01
-2.359842169999986083e-01 -2.595737127160061775e+01
-2.218457459999996217e-01 -2.609803129426082080e+01
-2.077072750000006351e-01 -2.620141591671809778e+01
-1.935688040000016485e-01 -2.627198294416866986e+01
-1.794303329999991092e-01 -2.631526642701935614e+01
-1.652918620000001226e-01 -2.633413521161552495e+01
-1.511533910000011360e-01 -2.633004717253438187e+01
