# r_minus_2Rs_A,    PMF_over_kBT
-8.335000000000007958e-01 3.557521334876992825e+01
-8.193602759999993879e-01 4.742205543235744614e+01
-8.052205519999997563e-01 5.924374586585166469e+01
-7.910808280000001247e-01 7.100789119572979757e+01
-7.769411040000004931e-01 7.079683929615596583e+01
-7.628013800000008615e-01 7.037790170153917302e+01
-7.486616559999994536e-01 6.962143420657324100e+01
-7.345219319999998220e-01 6.836674556014199311e+01
-7.203822080000001904e-01 6.644556299437881819e+01
-7.062424840000005588e-01 6.371946110667121133e+01
-6.921027599999991509e-01 6.012272290302905731e+01
-6.779630359999995193e-01 5.569944328964628966e+01
-6.638233119999998877e-01 5.061243324219349660e+01
-6.496835880000002561e-01 4.511920385649870013e+01
-6.355438630000005418e-01 3.951830287910742356e+01
-6.214041389999991338e-01 3.408519282420736829e+01
-6.072644149999995022e-01 2.902175561266723136e+01
-5.931246909999998707e-01 2.442869239023145411e+01
-5.789849670000002391e-01 2.031391796356215096e+01
-5.648452430000006075e-01 1.662482943426716631e+01
-5.507055189999991995e-01 1.328630993341706201e+01
-5.365657949999995679e-01 1.023538726333165627e+01
-5.224260709999999364e-01 7.434717340920914630e+00
-5.082863470000003048e-01 4.870184754221348555e+00
-4.941466230000006732e-01 2.537785715183943136e+00
-4.800068989999992652e-01 4.308670260525601647e-01
-4.658671749999996337e-01 -1.464907938866194970e+00
-4.517274510000000021e-01 -3.170842666701756407e+00
-4.375877270000003705e-01 -4.707442766772645726e+00
-4.234480030000007389e-01 -6.091319068986996932e+00
-4.093082789999993309e-01 -7.334894907725997726e+00
-3.951685549999996994e-01 -8.448323498009489896e+00
-3.810288310000000678e-01 -9.442655652949293099e+00
-3.668891070000004362e-01 -1.032893650629170068e+01
-3.527493830000008046e-01 -1.111908348855369155e+01
-3.386096589999993967e-01 -1.182349484057874989e+01
-3.244699349999997651e-01 -1.244907766320827669e+01
-3.103302110000001335e-01 -1.300315733006449470e+01
-2.961904870000005019e-01 -1.349148613248754991e+01
-2.820507630000008703e-01 -1.391962678231281636e+01
-2.679110379999993796e-01 -1.429413038310930162e+01
-2.537713139999997480e-01 -1.461990727232062603e+01
-2.396315900000001164e-01 -1.490350118978692606e+01
-2.254918660000004849e-01 -1.514994839727073384e+01
-2.113521420000008533e-01 -1.536089649498955900e+01
-1.972124179999994453e-01 -1.553632559853488537e+01
-1.830726939999998137e-01 -1.567718127266895145e+01
-1.689329700000001822e-01 -1.578832225205509054e+01
-1.547932460000005506e-01 -1.587447232969781830e+01
-1.406535219999991426e-01 -1.593864249910942377e+01
-1.265137979999995110e-01 -1.598263922425105044e+01
-1.123740739999998794e-01 -1.600886018501127950e+01
-9.823435000000024786e-02 -1.601973651729710824e+01
-8.409462600000061627e-02 -1.601673506281113646e+01
-6.995490199999920833e-02 -1.600148819903607134e+01
-5.581517799999957674e-02 -1.597316571294738807e+01
-4.167545399999994515e-02 -1.593240868927808229e+01
-2.753573000000031357e-02 -1.588166183392933917e+01
-1.339600600000068198e-02 -1.582293460312000022e+01
7.437180000007259650e-04 -1.575841424420205783e+01
1.488344200000035755e-02 -1.568919741003717583e+01
2.902316599999998914e-02 -1.561948993981762968e+01
4.316288999999962073e-02 -1.555151064038051700e+01
5.730261399999925231e-02 -1.548447324281693938e+01
7.144233800000066026e-02 -1.541589019126965887e+01
8.558206200000029185e-02 -1.534429151086450105e+01
9.972178599999992343e-02 -1.527162470834770680e+01
1.138615109999996378e-01 -1.519984737749686943e+01
1.280012349999992693e-01 -1.513070811048560493e+01
1.421409590000006773e-01 -1.506317024095376311e+01
1.562806830000003089e-01 -1.499483292154593173e+01
1.704204069999999405e-01 -1.492320509641771942e+01
1.845601309999995721e-01 -1.484795083837502894e+01
1.986998549999992036e-01 -1.477057719123148871e+01
2.128395790000006116e-01 -1.469186226989392274e+01
2.269793030000002432e-01 -1.461130474457869255e+01
2.411190269999998748e-01 -1.453049317570329890e+01
2.552587509999995063e-01 -1.445160214750215744e+01
2.693984749999991379e-01 -1.437720579973387913e+01
2.835381990000005459e-01 -1.430891624691106223e+01
2.976779230000001775e-01 -1.424431861996108495e+01
3.118176469999998091e-01 -1.418120940177381506e+01
3.259573709999994406e-01 -1.411525176673665882e+01
3.400970950000008486e-01 -1.404637426558911173e+01
3.542368190000004802e-01 -1.397528302537456568e+01
3.683765430000001118e-01 -1.390154901184069303e+01
3.825162669999997433e-01 -1.382636668836791038e+01
3.966559909999993749e-01 -1.375085069179749730e+01
4.107957150000007829e-01 -1.367793340355223641e+01
4.249354390000004145e-01 -1.360787302217567074e+01
4.390751630000000461e-01 -1.353909766747925225e+01
4.532148869999996776e-01 -1.346951256688411824e+01
4.673546109999993092e-01 -1.339933600476275544e+01
4.814943360000007999e-01 -1.332906896557082810e+01
4.956340600000004315e-01 -1.325976559119065712e+01
5.097737840000000631e-01 -1.319133101668048802e+01
5.239135079999996947e-01 -1.312379387894345406e+01
5.380532319999993263e-01 -1.305678862989734945e+01
5.521929560000007342e-01 -1.298892298435808001e+01
5.663326800000003658e-01 -1.292101979256871758e+01
5.804724039999999974e-01 -1.285346355776936456e+01
5.946121279999996290e-01 -1.278757719714478469e+01
6.087518519999992606e-01 -1.272160980143310383e+01
6.228915760000006685e-01 -1.265374780580202874e+01
6.370313000000003001e-01 -1.258314227151210218e+01
6.511710239999999317e-01 -1.250941742686396907e+01
6.653107479999995633e-01 -1.243312045939070387e+01
6.794504719999991948e-01 -1.235432563843709808e+01
6.935901960000006028e-01 -1.227446592845207540e+01
7.077299200000002344e-01 -1.219558705627058615e+01
7.218696439999998660e-01 -1.212027815851016399e+01
7.360093679999994976e-01 -1.204930128357652208e+01
7.501490919999991291e-01 -1.198058382865907490e+01
7.642888160000005371e-01 -1.191136256990650999e+01
7.784285400000001687e-01 -1.184186940193714399e+01
7.925682639999998003e-01 -1.177430357783727466e+01
8.067079879999994318e-01 -1.171048936378585914e+01
8.208477120000008398e-01 -1.164820798212067920e+01
8.349874360000004714e-01 -1.158522700086748003e+01
8.491271600000001030e-01 -1.152025894977237819e+01
8.632668849999998173e-01 -1.145308423859402147e+01
8.774066089999994489e-01 -1.138387525132904265e+01
8.915463330000008568e-01 -1.131408018821113970e+01
9.056860570000004884e-01 -1.124653741369252735e+01
9.198257810000001200e-01 -1.118147192485245967e+01
9.339655049999997516e-01 -1.111653937744075371e+01
9.481052289999993832e-01 -1.104946315948677338e+01
9.622449530000007911e-01 -1.098052874670138657e+01
9.763846770000004227e-01 -1.090996718127171405e+01
9.905244010000000543e-01 -1.083914053752218898e+01
1.004664124999999686e+00 -1.076814441053433669e+01
1.018803848999999317e+00 -1.069879320028982228e+01
1.032943573000000725e+00 -1.063198573847125061e+01
1.047083297000000357e+00 -1.056846631748775600e+01
1.061223020999999989e+00 -1.050732752529810021e+01
1.075362744999999620e+00 -1.044494060747611819e+01
1.089502468999999252e+00 -1.037917291243657836e+01
1.103642193000000660e+00 -1.031032411328007825e+01
1.117781917000000291e+00 -1.024152632019211318e+01
