# r_minus_2Rs_A,    PMF_over_kBT
-8.388999999999988688e-01 3.304323329202750159e+01
-8.247645679999990875e-01 4.405109148431079547e+01
-8.106291359999993063e-01 5.504070309253010151e+01
-7.964937039999995250e-01 6.598496052699378822e+01
-7.823582719999997437e-01 6.581459485169732204e+01
-7.682228399999999624e-01 6.545061466031563668e+01
-7.540874070000000984e-01 6.475089479170004836e+01
-7.399519750000003171e-01 6.352919186212735525e+01
-7.258165430000005358e-01 6.158246079648949234e+01
-7.116811110000007545e-01 5.873914849682567052e+01
-6.975456790000009732e-01 5.491726825896358122e+01
-6.834102470000011920e-01 5.017004119270643514e+01
-6.692748150000014107e-01 4.469436880533584855e+01
-6.551393830000016294e-01 3.879993527423641098e+01
-6.410039509999982954e-01 3.284105424502373438e+01
-6.268685189999985141e-01 2.713425418643682718e+01
-6.127330859999986501e-01 2.189592271942459334e+01
-5.985976539999988688e-01 1.721387265891905471e+01
-5.844622219999990875e-01 1.306564151982640887e+01
-5.703267899999993062e-01 9.364482660787457391e+00
-5.561913579999995250e-01 6.015803950369351227e+00
-5.420559259999997437e-01 2.953194607540869487e+00
-5.279204939999999624e-01 1.471090051617049699e-01
-5.137850620000001811e-01 -2.407644406911523927e+00
-4.996496300000003998e-01 -4.710837260497666712e+00
-4.855141980000006185e-01 -6.769124118826050029e+00
-4.713787650000007545e-01 -8.602257125554803707e+00
-4.572433330000009732e-01 -1.023887425153454878e+01
-4.431079010000011920e-01 -1.170778210153052434e+01
-4.289724690000014107e-01 -1.303073529008597475e+01
-4.148370370000016294e-01 -1.421967529894244642e+01
-4.007016049999982954e-01 -1.527860430844634010e+01
-3.865661729999985141e-01 -1.621189312128043269e+01
-3.724307409999987328e-01 -1.702683905074377790e+01
-3.582953089999989515e-01 -1.773471596106247716e+01
-3.441598769999991703e-01 -1.834874734596494505e+01
-3.300244439999993062e-01 -1.887980281189053500e+01
-3.158890119999995250e-01 -1.933889356036676332e+01
-3.017535799999997437e-01 -1.973620466042549282e+01
-2.876181479999999624e-01 -2.007909487520461767e+01
-2.734827160000001811e-01 -2.036968728215122937e+01
-2.593472840000003998e-01 -2.060726107085177006e+01
-2.452118520000006185e-01 -2.079398177453944996e+01
-2.310764200000008373e-01 -2.093548736264602184e+01
-2.169409880000010560e-01 -2.103809050853389095e+01
-2.028055560000012747e-01 -2.110715229738845622e+01
-1.886701230000014107e-01 -2.114457833277172583e+01
-1.745346910000016294e-01 -2.115165802895610980e+01
-1.603992589999982954e-01 -2.113143813858010844e+01
-1.462638269999985141e-01 -2.109011286736610558e+01
-1.321283949999987328e-01 -2.103134310944425067e+01
-1.179929629999989515e-01 -2.095564309616765541e+01
-1.038575309999991703e-01 -2.086418671015839621e+01
-8.972209899999938898e-02 -2.075861381760335789e+01
-7.558666699999960770e-02 -2.064033448805964710e+01
-6.145123499999982641e-02 -2.051034275433829634e+01
-4.731580199999996239e-02 -2.036912038960292648e+01
-3.318037000000018111e-02 -2.021613210490766477e+01
-1.904493800000039982e-02 -2.005248846529001483e+01
-4.909506000000618542e-03 -1.988045061184075024e+01
9.225925999999162741e-03 -1.970381664601023530e+01
2.336135799999894402e-02 -1.952520200061939448e+01
3.749678999999872531e-02 -1.934519452446083321e+01
5.163222199999850659e-02 -1.916455203768727245e+01
6.576765399999828787e-02 -1.898364608126521347e+01
7.990308600000162187e-02 -1.880456123781863198e+01
