# r_minus_2Rs_A,    PMF_over_kBT
-7.947100000000002495e-01 3.548567578554294499e+01
-7.805709949999997121e-01 4.729099461872647936e+01
-7.664319889999999802e-01 5.904797254259284500e+01
-7.522929840000003310e-01 7.069995385004924060e+01
-7.381539779999997108e-01 7.032078807404276688e+01
-7.240149730000000616e-01 6.960382792911801175e+01
-7.098759670000003297e-01 6.838127074061075916e+01
-6.957369619999997923e-01 6.648403154619943223e+01
-6.815979570000001431e-01 6.378679772116073821e+01
-6.674589510000004111e-01 6.025179692190435787e+01
-6.533199459999998737e-01 5.595814697081824818e+01
-6.391809400000001418e-01 5.110231124686499271e+01
-6.250419349999996044e-01 4.596477669785556941e+01
-6.109029289999998724e-01 4.085108971159296232e+01
-5.967639240000002232e-01 3.602015885104868431e+01
-5.826249189999996858e-01 3.163574544494025531e+01
-5.684859129999999539e-01 2.774900006847911982e+01
-5.543469080000003046e-01 2.431927860731693514e+01
-5.402079019999996845e-01 2.125776169701920182e+01
-5.260688970000000353e-01 1.847336550923477816e+01
-5.119298920000003861e-01 1.590352307112974017e+01
-4.977908859999997659e-01 1.352145070238842806e+01
-4.836518810000001167e-01 1.132749461808011127e+01
-4.695128750000003848e-01 9.332551553053390236e+00
-4.553738699999998474e-01 7.540968211495016504e+00
-4.412348640000001154e-01 5.939969360198945836e+00
-4.270958589999995780e-01 4.506485149837573090e+00
-4.129568539999999288e-01 3.216823252619670725e+00
-3.988178480000001969e-01 2.055490905913825550e+00
-3.846788429999996595e-01 1.010091350678979261e+00
-3.705398369999999275e-01 6.874135369554790209e-02
-3.564008320000002783e-01 -7.796524290236063193e-01
-3.422618259999996582e-01 -1.544141989192820974e+00
-3.281228210000000090e-01 -2.230178949387924714e+00
-3.139838160000003597e-01 -2.844282884927489707e+00
-2.998448099999997396e-01 -3.390044453415109960e+00
-2.857058050000000904e-01 -3.873169495040836630e+00
-2.715667990000003584e-01 -4.297126810268021124e+00
-2.574277939999998210e-01 -4.663900762749169537e+00
-2.432887880000000891e-01 -4.975600197977466443e+00
-2.291497830000004399e-01 -5.238221562181291979e+00
-2.150107779999999025e-01 -5.462514104811719839e+00
-2.008717720000001705e-01 -5.656386304895424821e+00
-1.867327669999996331e-01 -5.821981652929048678e+00
-1.725937609999999012e-01 -5.960573352147420678e+00
-1.584547560000002520e-01 -6.076188078734247711e+00
-1.443157499999996318e-01 -6.172373220873566879e+00
-1.301767449999999826e-01 -6.251459195069431374e+00
-1.160377400000003334e-01 -6.311453333409021482e+00
-1.018987339999997133e-01 -6.351864450736186996e+00
-8.775972900000006405e-02 -6.371902577803313150e+00
-7.362072300000033209e-02 -6.375992844036135310e+00
-5.948171799999979470e-02 -6.371251471305123815e+00
-4.534271200000006274e-02 -6.359920114365474220e+00
-3.120370700000041353e-02 -6.340332039795173458e+00
-1.706470199999987614e-02 -6.311110478804238255e+00
-2.925696000000144181e-03 -6.274959834801665082e+00
1.121330900000039321e-02 -6.235583150726104584e+00
2.535231499999923699e-02 -6.195749105382315491e+00
3.949131999999977438e-02 -6.155413382791858901e+00
5.363032500000031177e-02 -6.113114533801303985e+00
6.776933099999915555e-02 -6.067497806852645503e+00
8.190833599999969294e-02 -6.018825484145108540e+00
9.604734200000031308e-02 -5.968513297539701057e+00
1.101863470000008505e-01 -5.917448676021537679e+00
1.243253529999996942e-01 -5.866166929737417490e+00
1.384643580000002316e-01 -5.815304668319871695e+00
1.526033630000007690e-01 -5.766377599712586566e+00
1.667423689999996128e-01 -5.720464774202556946e+00
1.808813740000001502e-01 -5.675918772979173355e+00
1.950203800000007703e-01 -5.628435873668460765e+00
2.091593849999995314e-01 -5.578156347965409267e+00
2.232983910000001515e-01 -5.529411383161916937e+00
2.374373960000006889e-01 -5.485269165080329579e+00
2.515764009999994499e-01 -5.445526170634370722e+00
2.657154070000000701e-01 -5.406277553577905515e+00
2.798544120000006075e-01 -5.362506466735633026e+00
2.939934179999994512e-01 -5.314759210894561825e+00
3.081324229999999886e-01 -5.267671449769655290e+00
3.222714290000006088e-01 -5.225730326393677849e+00
3.364104339999993698e-01 -5.188316057420331973e+00
3.505494389999999072e-01 -5.151051782169401072e+00
3.646884450000005273e-01 -5.111820970269808306e+00
3.788274499999992884e-01 -5.068769386984172343e+00
3.929664559999999085e-01 -5.021291092375316012e+00
4.071054610000004459e-01 -4.969463629891983203e+00
4.212444669999992897e-01 -4.915166817273600941e+00
4.353834719999998271e-01 -4.863838245246161485e+00
4.495224770000003645e-01 -4.819060460475708574e+00
4.636614829999992082e-01 -4.779393423924446438e+00
4.778004879999997456e-01 -4.738833412471615603e+00
4.919394940000003658e-01 -4.693291707536272561e+00
5.060784989999991268e-01 -4.644438322325275870e+00
5.202175049999997469e-01 -4.595740222784741036e+00
5.343565100000002843e-01 -4.548747749584649114e+00
5.484955150000008217e-01 -4.500782752467793912e+00
5.626345209999996655e-01 -4.448850580880895578e+00
5.767735260000002029e-01 -4.396342138975032121e+00
5.909125320000008230e-01 -4.348898239565833990e+00
6.050515369999995841e-01 -4.310397197517424672e+00
6.191905420000001214e-01 -4.278215772941607042e+00
6.333295480000007416e-01 -4.246297482943991675e+00
6.474685529999995026e-01 -4.211199759399983478e+00
6.616075590000001228e-01 -4.174482169473385795e+00
6.757465640000006601e-01 -4.140015736889684383e+00
6.898855699999995039e-01 -4.107112063114975342e+00
7.040245750000000413e-01 -4.071930627185543550e+00
7.181635800000005787e-01 -4.031773673060269125e+00
7.323025859999994225e-01 -3.988465440297412901e+00
7.464415909999999599e-01 -3.944406832323332779e+00
7.605805970000005800e-01 -3.900399500001291653e+00
7.747196019999993410e-01 -3.856176942631772242e+00
7.888586079999999612e-01 -3.810340296181503383e+00
8.029976130000004986e-01 -3.763303783568552774e+00
8.171366179999992596e-01 -3.715623282576042019e+00
8.312756239999998797e-01 -3.667983503233924747e+00
8.454146290000004171e-01 -3.621539491934598232e+00
8.595536349999992609e-01 -3.576463454612593296e+00
8.736926399999997983e-01 -3.534550764838250814e+00
8.878316460000004184e-01 -3.497363539450326186e+00
9.019706509999991795e-01 -3.463440628095757923e+00
9.161096559999997169e-01 -3.428159667028717994e+00
9.302486620000003370e-01 -3.388447164256819022e+00
9.443876670000008744e-01 -3.345178858324875826e+00
9.585266729999997182e-01 -3.300063694910858825e+00
9.726656780000002556e-01 -3.253877481372882130e+00
9.868046840000008757e-01 -3.209185635257734592e+00
1.000943688999999637e+00 -3.167601035335133819e+00
1.015082694000000174e+00 -3.128246303053797472e+00
1.029221700000000794e+00 -3.087640856567896996e+00
1.043360704999999555e+00 -3.044352177659741976e+00
1.057499711000000175e+00 -3.000919209190574755e+00
1.071638716000000713e+00 -2.960073768481914058e+00
1.085777721999999557e+00 -2.922937858414177636e+00
1.099916727000000094e+00 -2.887135305392710904e+00
1.114055732000000631e+00 -2.850246778811412529e+00
1.128194737999999475e+00 -2.814406278021157171e+00
1.142333743000000013e+00 -2.782169564612395618e+00
1.156472749000000633e+00 -2.753398816163866059e+00
1.170611753999999394e+00 -2.723461160944722792e+00
1.184750758999999931e+00 -2.686744182265243808e+00
1.198889765000000551e+00 -2.641696192589707337e+00
1.213028769999999312e+00 -2.592074740040397618e+00
1.227167775999999932e+00 -2.543904904662546596e+00
1.241306781000000470e+00 -2.500457120365112473e+00
1.255445786999999314e+00 -2.460398380205425894e+00
1.269584791999999851e+00 -2.421752761354987626e+00
1.283723797000000388e+00 -2.385035878034256207e+00
1.297862802999999232e+00 -2.352467960433142657e+00
1.312001807999999770e+00 -2.322382755366857232e+00
1.326140814000000390e+00 -2.290531965057544195e+00
1.340279818999999151e+00 -2.254293556938911536e+00
1.354418824999999771e+00 -2.213153899619977327e+00
1.368557830000000308e+00 -2.168792066872908375e+00
1.382696835000000846e+00 -2.120233855194238348e+00
1.396835840999999689e+00 -2.067213192982419567e+00
1.410974846000000227e+00 -2.012187085951396170e+00
1.425113852000000847e+00 -1.960886151919663867e+00
1.439252856999999608e+00 -1.918911523487838000e+00
1.453391863000000228e+00 -1.889105457445545255e+00
1.467530868000000766e+00 -1.869234319126351407e+00
1.481669872999999527e+00 -1.852125735149442676e+00
1.495808879000000147e+00 -1.831540810232993977e+00
1.509947884000000684e+00 -1.804886526267338587e+00
1.524086889999999528e+00 -1.775251599290735616e+00
1.538225895000000065e+00 -1.743449641168294928e+00
1.552364901000000685e+00 -1.708759513456513446e+00
1.566503905999999446e+00 -1.670837440625476233e+00
1.580642910999999984e+00 -1.631024746019811289e+00
1.594781917000000604e+00 -1.591164231056469536e+00
1.608920921999999365e+00 -1.551630702412805762e+00
1.623059927999999985e+00 -1.511700703383501265e+00
1.637198933000000522e+00 -1.471657830219399443e+00
1.651337938999999366e+00 -1.434034990486333871e+00
1.665476943999999904e+00 -1.400763603130388280e+00
1.679615949000000441e+00 -1.372848928439997396e+00
1.693754954999999285e+00 -1.347868322002746311e+00
1.707893959999999822e+00 -1.323751164894659382e+00
1.722032966000000442e+00 -1.297661364010885165e+00
1.736171970999999203e+00 -1.270346414754252695e+00
1.750310975999999741e+00 -1.244107086563883913e+00
1.764449982000000361e+00 -1.219667453678849656e+00
1.778588986999999122e+00 -1.195677982577192155e+00
1.792727992999999742e+00 -1.169097272113736041e+00
1.806866998000000279e+00 -1.139270104087465540e+00
1.821006003999999123e+00 -1.106578080540216780e+00
1.835145008999999661e+00 -1.071224023247942858e+00
1.849284014000000198e+00 -1.033841654105939201e+00
1.863423020000000818e+00 -9.977635596266479778e-01
1.877562024999999579e+00 -9.676266489991717235e-01
1.891701031000000199e+00 -9.445695293671267923e-01
1.905840036000000737e+00 -9.238638920687261002e-01
1.919979041999999581e+00 -9.008462454101884287e-01
1.934118047000000118e+00 -8.721499305519984091e-01
1.948257052000000655e+00 -8.366272925804854044e-01
1.962396057999999499e+00 -7.975214148884053333e-01
1.976535063000000036e+00 -7.601440473866246661e-01
1.990674069000000657e+00 -7.288220718197255810e-01
2.004813073999999418e+00 -7.035962065880194682e-01
2.018952080000000038e+00 -6.818100921478773557e-01
2.033091085000000575e+00 -6.605300032206974370e-01
2.047230089999999336e+00 -6.374941478702211839e-01
2.061369095999999956e+00 -6.113161077270844457e-01
2.075508101000000494e+00 -5.831480885353574894e-01
2.089647106999999338e+00 -5.559567673507052055e-01
2.103786111999999875e+00 -5.325962939297591570e-01
2.117925118000000495e+00 -5.133105105139723623e-01
2.132064122999999256e+00 -4.952806277841451110e-01
2.146203127999999793e+00 -4.770273096860506157e-01
2.160342134000000414e+00 -4.576101137273624331e-01
2.174481138999999175e+00 -4.371477436785630166e-01
2.188620144999999795e+00 -4.158702274149846390e-01
2.202759150000000332e+00 -3.947628139882131681e-01
2.216898155999999176e+00 -3.730438079495238535e-01
2.231037160999999713e+00 -3.493780265012702557e-01
2.245176166000000251e+00 -3.258007147374376022e-01
2.259315172000000871e+00 -3.037123752262165799e-01
2.273454176999999632e+00 -2.839042286647336377e-01
2.287593183000000252e+00 -2.662235961179248989e-01
2.301732188000000789e+00 -2.505666842393546867e-01
2.315871192999999550e+00 -2.370746869602721463e-01
2.330010199000000171e+00 -2.269654008980452609e-01
2.344149204000000708e+00 -2.204491191055358290e-01
2.358288209999999552e+00 -2.159449658520316007e-01
2.372427215000000089e+00 -2.101642087631958311e-01
2.386566221000000709e+00 -2.019959709837166884e-01
2.400705225999999470e+00 -1.927687760990177135e-01
2.414844231000000008e+00 -1.822253106459660321e-01
2.428983237000000628e+00 -1.701098048400713769e-01
2.443122241999999389e+00 -1.537888738693406199e-01
2.457261248000000009e+00 -1.334359660911109413e-01
2.471400253000000546e+00 -1.123697848488423578e-01
2.485539258999999390e+00 -9.506913915750202226e-02
2.499678263999999928e+00 -8.416893941674412349e-02
2.513817269000000465e+00 -7.922187965930760356e-02
2.527956274999999309e+00 -7.905163963404977789e-02
2.542095279999999846e+00 -8.223535689036036433e-02
2.556234286000000466e+00 -8.686048592290045167e-02
2.570373290999999227e+00 -9.022356472616147038e-02
2.584512296999999847e+00 -8.787705001060193422e-02
2.598651302000000385e+00 -7.597663541051247194e-02
2.612790306999999146e+00 -5.693479641205811959e-02
2.626929312999999766e+00 -3.468443491525619038e-02
2.641068318000000303e+00 -1.450229023170853185e-02
2.655207323999999147e+00 3.072009970210844393e-04
2.669346328999999685e+00 9.542900077159780295e-03
2.683485335000000305e+00 1.461134830058341376e-02
2.697624340000000842e+00 2.017936416162531901e-02
