1.4 0.1415 0.01
1.7 0.2065 0.02
2.0 0.3035 0.02
2.5 0.525 0.03
3.0 0.75 0.04
4.0 1.1 0.05
5.0 1.46 0.08
6.0 1.92 0.10
7.5 2.37 0.13
9.0 2.75 0.18
10.0 3 0.2
