# r_minus_2Rs_Angstrom   kappa_over_kappaT
# T = 300 K
# P = 0
# Rs = 3 Angstrom
# D0 = 0.01
# rho_b = 3.33300000e+28
# chi_b = 1.96700000e-10
-2.212499999999999467e-01 4.985459787911879381e+00
-7.125000000000003553e-02 1.077537931873756349e+01
7.875000000000031974e-02 1.032255055600369609e+01
2.287499999999997868e-01 8.159112077808165608e+00
3.787500000000001421e-01 6.572008800876770529e+00
5.287499999999996092e-01 4.997039472257116088e+00
6.787499999999999645e-01 3.173986771528887196e+00
8.287500000000003197e-01 1.636068646420887340e+00
9.787499999999997868e-01 1.030030345420673288e-01
1.128750000000000142e+00 -1.335155754612664447e+00
1.278749999999999609e+00 -2.483166772150173784e+00
1.428749999999999964e+00 -3.831626644385083935e+00
1.578750000000000320e+00 -4.732355069799483616e+00
1.728749999999999787e+00 -5.168743374225497789e+00
1.878750000000000142e+00 -5.129338552315915400e+00
2.028749999999999609e+00 -4.619305084061380740e+00
2.178749999999999964e+00 -4.134619181312883640e+00
2.328750000000000320e+00 -2.949449918101299417e+00
2.478749999999999787e+00 -9.015952719456570286e-01
2.628750000000000142e+00 1.473393908364852845e+00
2.778749999999999609e+00 3.322113338132311799e+00
2.928749999999999964e+00 4.225016732008812781e+00
3.078750000000000320e+00 4.142920538913113404e+00
3.228749999999999787e+00 3.323666846581445178e+00
3.378750000000000142e+00 2.752896036181810224e+00
3.528749999999999609e+00 2.200222915485672281e+00
3.678749999999999964e+00 1.730572187745162971e+00
3.828750000000000320e+00 1.585922911600873064e+00
3.978750000000000675e+00 1.279454253932552632e+00
4.128749999999999254e+00 8.554939660377712807e-01
4.278749999999999609e+00 5.249571757386470860e-01
4.428749999999999964e+00 3.927143877909790026e-01
4.578750000000000320e+00 1.903699478483583396e-01
4.728750000000000675e+00 2.728927854896144312e-01
4.878749999999999254e+00 2.752668767751378365e-01
5.028749999999999609e+00 -8.564044221845502902e-02
5.178749999999999964e+00 -2.302248908975108588e-01
5.328750000000000320e+00 5.012711181168652552e-02
5.478750000000000675e+00 2.138969940927715196e-01
5.628749999999999254e+00 2.857764238810742152e-01
5.778749999999999609e+00 6.854281234795522870e-01
5.928749999999999964e+00 9.608298814840154911e-01
6.078750000000000320e+00 1.252066744466100445e+00
6.228750000000000675e+00 1.416963698319817055e+00
6.378749999999999254e+00 1.569810813245817727e+00
6.528749999999999609e+00 1.579873572056282427e+00
6.678749999999999964e+00 1.403596167476413248e+00
6.828750000000000320e+00 1.463636121393394163e+00
6.978750000000000675e+00 1.527429360212064324e+00
7.128749999999999254e+00 1.502618297408014669e+00
7.278749999999999609e+00 1.365463730246789797e+00
7.428749999999999964e+00 1.131236423131624536e+00
7.578750000000000320e+00 9.949664537315239254e-01
7.728750000000000675e+00 9.128758057497591283e-01
7.878749999999999254e+00 7.343843725896548325e-01
8.028749999999998721e+00 7.129778742670547231e-01
8.178750000000000853e+00 7.508079467177433131e-01
8.328749999999999432e+00 6.453697390021995162e-01
8.478750000000001563e+00 5.634674464190078114e-01
8.628750000000000142e+00 7.946793387572245182e-01
8.778749999999998721e+00 1.029207958151357571e+00
8.928750000000000853e+00 9.897301227081453101e-01
9.078749999999999432e+00 8.640263687022542438e-01
9.228750000000001563e+00 7.551325153406515112e-01
9.378750000000000142e+00 9.769432102911808080e-01
9.528749999999998721e+00 1.062476341961372306e+00
9.678750000000000853e+00 1.037160425885541359e+00
9.828749999999999432e+00 1.089651141852506555e+00
9.978750000000001563e+00 1.088502001478730552e+00
1.012875000000000014e+01 1.069675856649456858e+00
1.027874999999999872e+01 9.487373851023612747e-01
1.042875000000000085e+01 1.055771918867548287e+00
1.057874999999999943e+01 1.062527411029484004e+00
1.072875000000000156e+01 1.126357104904420758e+00
1.087875000000000014e+01 1.076172643386093419e+00
1.102874999999999872e+01 8.689483507256596795e-01
1.117875000000000085e+01 9.560736057816536793e-01
1.132874999999999943e+01 8.440150819152401063e-01
1.147875000000000156e+01 8.719066607551239079e-01
1.162875000000000014e+01 8.429211391349931137e-01
1.177874999999999872e+01 7.320080430202582367e-01
1.192875000000000085e+01 6.513704533097878224e-01
1.207874999999999943e+01 6.417533612036658841e-01
1.222875000000000156e+01 7.144526018795569478e-01
1.237875000000000014e+01 8.137239300949372645e-01
1.252875000000000227e+01 7.431984398346671572e-01
1.267875000000000085e+01 6.892197854696031634e-01
1.282874999999999943e+01 1.001098288783274448e+00
1.297875000000000156e+01 1.035780331089112494e+00
1.312875000000000014e+01 9.024415906980787216e-01
1.327875000000000227e+01 1.044569638571729575e+00
1.342875000000000085e+01 1.049680522031619878e+00
1.357874999999999943e+01 7.984621989204347958e-01
1.372875000000000156e+01 9.375140826677439421e-01
1.387875000000000014e+01 1.062087680454051331e+00
1.402875000000000227e+01 7.771979427652075945e-01
1.417875000000000085e+01 8.043723981530925826e-01
1.432874999999999943e+01 8.711659684985990637e-01
1.447875000000000156e+01 9.545187047194281238e-01
1.462875000000000014e+01 1.052400351829480218e+00
1.477875000000000227e+01 1.034452018983690103e+00
1.492875000000000085e+01 1.086151621320241123e+00
1.507874999999999943e+01 1.153178436780511351e+00
1.522875000000000156e+01 1.096930519079325927e+00
1.537875000000000014e+01 1.034826187095486905e+00
1.552875000000000227e+01 1.148983121131192942e+00
1.567875000000000085e+01 1.133612811574741031e+00
1.582874999999999943e+01 7.420646072575257657e-01
1.597875000000000156e+01 2.019941738150565214e-01
1.612875000000000014e+01 5.938824496311605888e-02
1.627875000000000227e+01 -9.781602640192008091e-02
1.642875000000000085e+01 -2.974502960436292143e-01
1.657874999999999943e+01 -1.890112287480389952e-01
1.672875000000000156e+01 -1.049478684771208009e-03
1.687875000000000014e+01 1.110936926109145212e-01
1.702875000000000227e+01 2.466512314018509677e-02
1.717875000000000085e+01 -5.181203733977051556e-02
1.732874999999999943e+01 -1.358266776494060635e-01
1.747875000000000156e+01 -1.428118007865907535e-01
1.762875000000000014e+01 -2.154184816530788082e-01
1.777875000000000227e+01 -3.585103761886715423e-01
1.792875000000000085e+01 -3.160012618694080233e-01
1.807874999999999943e+01 -4.663390039064830850e-01
1.822875000000000156e+01 -4.743189695854950205e-01
1.837875000000000014e+01 -4.582134298372035897e-01
1.852875000000000227e+01 -4.067435328092974256e-01
1.867875000000000085e+01 -4.007412875425159227e-01
1.882874999999999943e+01 -4.097421101452862757e-01
1.897875000000000156e+01 -3.836778224034702034e-01
1.912875000000000014e+01 -6.136804114445865155e-01
1.927875000000000227e+01 -5.564708024968101352e-01
1.942875000000000085e+01 -3.917667084510610964e-01
1.957874999999999943e+01 -3.256934538914422195e-01
