# # sphere_volume_A3  var_Nv  var_Nv_sem  mean_Nv  dVar_dv  dVar_dv_sem  bulk_slope_A^-3
# # T_K = 300.0
# # kB_J_per_K = 1.380649e-23
# # n_frames = 56938
# # n_centers_per_frame = 100
# # n_samples_total = 5693800
# # rho_bulk_A^-3 = 0.03281263291045572
# # rho_bulk_sem_A^-3 = 4.1894505246169386e-07
# # kappa_T_from_NpT_volume_fluctuations_A3_per_J = 4.794971096338585e+20
# # kappa_T_from_NpT_volume_fluctuations_sem_A3_per_J = 2.8758832917172516e+18
# # bulk_slope_A^-3 = 0.0021383199647355524
# 
4.188790204786390525e+00 1.185537220198815272e-01 1.048246298358234270e-04 1.374447644806631730e-01 1.952206508199966564e-02 2.044098253344040853e-05 2.138319964735552366e-03
8.181230868723419647e+00 1.964944084972821692e-01 8.684212468226861219e-05 2.686871684990691511e-01 1.597254173325860643e-02 1.313334259862793501e-05 2.138319964735552366e-03
1.413716694115406725e+01 2.600880294519181679e-01 7.012019207388811180e-05 4.638736871684990826e-01 1.015919769634743113e-02 1.437511950594243484e-05 2.138319964735552366e-03
2.244929750377706057e+01 3.385217958221578005e-01 1.743159729839282093e-04 7.363818539463978796e-01 9.079407686987860104e-03 1.275729602358789031e-05 2.138319964735552366e-03
3.351032163829112420e+01 4.336997712891362822e-01 2.340053100273848611e-04 1.099490849696160844e+00 7.952325165691789821e-03 1.342157696949446327e-05 2.138319964735552366e-03
4.771293842639497740e+01 5.347446197680817415e-01 3.153395016450268799e-04 1.565537251044996303e+00 7.121642546030893320e-03 1.414583720650172368e-05 2.138319964735552366e-03
6.544984694978735718e+01 6.612182377830565505e-01 4.186777699811918734e-04 2.147367487442481515e+00 7.643685564960343154e-03 1.396419264932390622e-05 2.138319964735552366e-03
8.711374629016697213e+01 8.403884513776553877e-01 5.090203220309659146e-04 2.857894727598440543e+00 8.333137827064882736e-03 1.473668996668031240e-05 2.138319964735552366e-03
1.130973355292325380e+02 1.058866898365192766e+00 6.219426439199060054e-04 3.711039551793178681e+00 7.698816020817750988e-03 1.490853888036941147e-05 2.138319964735552366e-03
1.437933137486828059e+02 1.269460680497762617e+00 7.404820752245929285e-04 4.718265657381713218e+00 6.218476963543970865e-03 1.497733763263678315e-05 2.138319964735552366e-03
1.795943800302164846e+02 1.465275520563483314e+00 8.625558873272988611e-04 5.893011170044609948e+00 5.373262020153174445e-03 1.516028850629850791e-05 2.138319964735552366e-03
2.208932334555323109e+02 1.682599008096378190e+00 9.925503643094704242e-04 7.248274614492957291e+00 5.400696813744195260e-03 1.535890402808587498e-05 2.138319964735552366e-03
2.680825731063289936e+02 1.944921208191965789e+00 1.156029263335456346e-03 8.796716955284695771e+00 5.598269423936045458e-03 1.554477055308139990e-05 2.138319964735552366e-03
3.215550980643052412e+02 2.246658522041133477e+00 1.343603533237119896e-03 1.055172556113667426e+01 5.521179811677618537e-03 1.571921843451259040e-05 2.138319964735552366e-03
3.817035074111598192e+02 2.570516929689802499e+00 1.531965200974862119e-03 1.252410095191260631e+01 5.272059344239691386e-03 1.582522539241030732e-05 2.138319964735552366e-03
4.489205002285914361e+02 2.916456147948288891e+00 1.721530747400234779e-03 1.472973444799606568e+01 5.080247749139319563e-03 1.612019090515662379e-05 2.138319964735552366e-03
5.235987755982988574e+02 3.290334889243315075e+00 1.962722585173254548e-03 1.718075187045558394e+01 4.916542017000920944e-03 1.627442262674301318e-05 2.138319964735552366e-03
6.061310326019806780e+02 3.687900539972861047e+00 2.191573885809149601e-03 1.988815255189855691e+01 4.649071574858085892e-03 1.655643764262670990e-05 2.138319964735552366e-03
6.969099703213357770e+02 4.093161328554964840e+00 2.447461232734483762e-03 2.286649618883697954e+01 4.481070810342772243e-03 1.669421341442959810e-05 2.138319964735552366e-03
