# # R_Angstrom  sphere_volume_A3  mean_Nv  var_Nv  var_Nv_sem  rho_sub_A^-3  rho_bulk_A^-3  kappa_local_A3_per_J  kappa_local_sem_A3_per_J  kappa_local_over_kappa_bulk  kappa_local_over_kappa_bulk_sem
# # T_K = 300.0
# # kB_J_per_K = 1.380649e-23
# # n_frames = 56938
# # n_centers_per_frame = 100
# # n_samples_total = 5693800
# # V_mean_A3 = 213943.97641766377
# # V_mean_sem_A3 = 2.731770389063598
# # V_var_A6 = 424903.7798317558
# # V_var_sem_A6 = 2548.442706496807
# # rho_bulk_A^-3 = 0.03281263291045572
# # rho_bulk_sem_A^-3 = 4.1894505246169386e-07
# # kappa_T_from_NpT_volume_fluctuations_A3_per_J = 4.794971096338585e+20
# # kappa_T_from_NpT_volume_fluctuations_sem_A3_per_J = 2.8758832917172516e+18
1.000000000000000000e+00 4.188790204786390525e+00 1.374447644806631730e-01 1.185537220198815272e-01 1.048246298358234270e-04 3.281252050379836194e-02 3.281263291045571906e-02 6.346603612145560060e+21 1.072146335234678272e+18 1.323595801649731385e+01 2.235980809255271127e-03
1.250000000000000000e+00 8.181230868723419647e+00 2.686871684990691511e-01 1.964944084972821692e-01 8.684212468226861219e-05 3.284190029720973625e-02 3.281263291045571906e-02 5.380933842782435410e+21 1.383781628191984384e+18 1.122203603456815202e+01 2.885901917633315866e-03
1.500000000000000000e+00 1.413716694115406725e+01 4.638736871684990826e-01 2.600880294519181679e-01 7.012019207388811180e-05 3.281235123694672962e-02 3.281263291045571906e-02 4.125484965146693468e+21 1.736318107665322752e+18 8.603774417528590845e+00 3.621123199243403857e-03
1.750000000000000000e+00 2.244929750377706057e+01 7.363818539463978796e-01 3.385217958221578005e-01 1.743159729839282093e-04 3.280199987649960042e-02 3.281263291045571906e-02 3.382501055533067796e+21 1.988882315519451648e+18 7.054267872680042295e+00 4.147850478260759789e-03
2.000000000000000000e+00 3.351032163829112420e+01 1.099490849696160844e+00 4.336997712891362822e-01 2.340053100273848611e-04 3.281051317752227414e-02 3.281263291045571906e-02 2.902364520491419435e+21 1.719149511930680576e+18 6.052934339286529131e+00 3.585317778543887970e-03
2.250000000000000000e+00 4.771293842639497740e+01 1.565537251044996303e+00 5.347446197680817415e-01 3.153395016450268799e-04 3.281158743681431011e-02 3.281263291045571906e-02 2.513259891735182967e+21 1.575299649743004928e+18 5.241449512916345199e+00 3.285316257580563146e-03
2.500000000000000000e+00 6.544984694978735718e+01 2.147367487442481515e+00 6.612182377830565505e-01 4.186777699811918734e-04 3.280935842508426320e-02 3.281263291045571906e-02 2.265650066553111577e+21 1.457315646124364288e+18 4.725054689658401585e+00 3.039258458173320441e-03
2.750000000000000000e+00 8.711374629016697213e+01 2.857894727598440543e+00 8.403884513776553877e-01 5.090203220309659146e-04 3.280647256380279930e-02 3.281263291045571906e-02 2.163656088632837014e+21 1.302935945524822016e+18 4.512344381564663998e+00 2.717296766438774113e-03
3.000000000000000000e+00 1.130973355292325380e+02 3.711039551793178681e+00 1.058866898365192766e+00 6.219426439199060054e-04 3.281279381541201551e-02 3.281263291045571906e-02 2.099424067308028953e+21 1.227995381092109824e+18 4.378387325235679306e+00 2.561006847423545185e-03
3.250000000000000000e+00 1.437933137486828059e+02 4.718265657381713218e+00 1.269460680497762617e+00 7.404820752245929285e-04 3.281283068299088029e-02 3.281263291045571906e-02 1.979662911591114605e+21 1.156756830343619072e+18 4.128623242594256837e+00 2.412437545717246480e-03
